bookkeeping,category,child_dialect_count,child_family_count,child_language_count,description,family_pk,father_pk,hid,id,jsondata,latitude,level,longitude,macroareas,markup_description,name,newick,pk
False,Spoken L1 Language,5,0,0,,300,1089,ady,adyg1241,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""http://crubadan.org/languages/ady"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Adyghe_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/adyg1241"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_adt"", ""label"": ""Adyghe (Temirgoy)""}, {""url"": ""https://wals.info/languoid/lect/wals_code_ady"", ""label"": ""Adyghe (Abzakh)""}, {""url"": ""https://wals.info/languoid/lect/wals_code_ash"", ""label"": ""Adyghe (Shapsugh)""}, {""url"": ""https://www.wikidata.org/entity/Q27776"", ""label"": null}], ""meds"": [[""115536"", ""long_grammar"", 1966, 492, ""G. V. Rogava and Z. I. Kera\u0161eva 1966""], [""108407"", ""long_grammar"", 1941, 466, ""N. Jakovlev and D. Ashkhamaf 1941""], [""301335"", ""phonology_or_text"", 1854, 203, ""Loewe, Louis 1854""], [""34023"", ""wordlist_or_less"", 1806, 35, ""Johann Christoph Adelung 1806""]]}",44.0,language,39.33,Eurasia,,Adyghe,"('Abadzex [abad1240]':1,'Bezhedukh [bezh1247]':1,'Natuzaj [natu1243]':1,'Shapsug [shap1240]':1,'Xakuchi [xaku1238]':1)'Adyghe [adyg1241][ady]-l-':1",3003
False,Spoken L1 Language,2,0,0,,273,17463,aeq,aerr1238,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""http://endangeredlanguages.com/lang/3596"", ""label"": ""Aer""}, {""url"": ""https://www.wikidata.org/entity/Q3246741"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Aer_language"", ""label"": null}], ""meds"": [[""306208"", ""wordlist_or_less"", 2006, 2, ""Tariq Rahman 2006""]]}",25.254,language,69.029,Eurasia,,Aer,"('Jamesabad Aer [jame1238]':1,'Jikrio Goth Aer [jikr1238]':1)'Aer [aerr1238][aeq]-l-':1",19669
False,Sign Language,0,0,0,,249,982,afg,afgh1239,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://www.wikidata.org/entity/Q4689093"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Afghan_Sign_Language"", ""label"": null}], ""meds"": [[""478291"", ""phonology_or_text"", 2009, 0, ""Afghan National Association of the Deaf 2009""], [""477922"", ""phonology_or_text"", 1998, 0, ""Serve's Hearing Impaired Project 1998""], [""552339"", ""wordlist_or_less"", 1991, 48, ""No Author Stated 1991""]]}",34.434167,language,70.447778,Eurasia,,Afghan Sign Language,'Afghan Sign Language [afgh1239][afg]-l-':1,2786
False,Mixed Language,0,0,0,,226,928,NOCODE_Afghanistan-Gorbati,afgh1240,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://www.wikidata.org/entity/Q33519887"", ""label"": null}], ""meds"": [[""427228"", ""wordlist_or_less"", 1995, 3, ""Rao, Aparna 1995""], [""301571"", ""wordlist_or_less"", 1979, 0, ""Aparna Rao 1979""]]}",,language,,Eurasia,,Afghanistan Gorbat,'Afghanistan Gorbat [afgh1240]-l-':1,2630
False,Unattested,0,0,0,,204,867,agi,agar1251,"{""iso_retirement"": null, ""ethnologue_comment"": {""isohid"": ""agi"", ""comment_type"": ""spurious"", ""ethnologue_versions"": [""E16"", ""E17"", ""E18"", ""E19"", ""E20"", ""E21"", ""E22"", ""E23"", ""E24""], ""comment"": ""Agaria [agi] is listed in E16/E17/E18/E19/E20/E21/E22/E23/E24 as a Munda language. First of all, the entry conflates information from different tribes with a similar sounding name (**hh:e:Crooke:Agaria**). Second there is no attested Agaria language (**hh:e:Elwin:Agaria**:xxvii) so any suspicions that they spoke a Gond (Dravidian!) language\n(**hh:e:Dimaggio:Agaria**, **hh:e:RussellHiralal:Agaria**) is undemonstrable. E16/E17/E18/E19/E20/E21/E22/E23/E24 lists Agoria as a dialect name which seems to explain how the erroneous Munda affiliation came into place. It seems that E16/E17/E18/E19/E20/E21/E22/E23/E24 confused Agaria with ``Aghoria'', an alternative name for the neighbouring group Asur who, like the Agaria, are iron-smelters (**hh:hew:Dalton:Bengal**,\n**hh:e:Elwin:Agaria**:xxvii). Asuri [asr], which is an attested Munda language (**hh:ld:Konow:Asuri**), is already listed in E16/E17/E18/E19/E20/E21/E22/E23/E24. This makes Agaria [agi] a spurious entry in any corrected reading of it since Asur is already listed in the E16/E17/E18/E19/E20/E21/E22/E23/E24 and the assumed Dravidian-descendent Agaria language is not attested. See also: Asuri [asr].""}, ""links"": [{""url"": ""https://www.wikidata.org/entity/Q663586"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Agariya_language"", ""label"": null}], ""meds"": [[""8607"", ""wordlist_or_less"", 1942, 327, ""Elwin, Verrier 1942""], [""124546"", ""wordlist_or_less"", 1896, 13, ""W. Crooke 1896""]]}",24.5024,language,82.297,Eurasia,,Agariya,'Agariya [agar1251][agi]-l-':1,2541
False,Spoken L1 Language,4,0,0,,205,11918,agx,aghu1253,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""http://crubadan.org/languages/agx"", ""label"": null}, {""url"": ""http://endangeredlanguages.com/lang/921"", ""label"": ""Aghul""}, {""url"": ""https://en.wikipedia.org/wiki/Aghul_language"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_agl"", ""label"": ""Aghul""}, {""url"": ""https://www.wikidata.org/entity/Q36498"", ""label"": null}], ""meds"": [[""311876"", ""grammar_sketch"", 1941, 212, ""R. M. Shaumyan 1941""], [""125659"", ""wordlist_or_less"", 1895, 0, ""von Erckert, R. 1895""]]}",41.9242,language,47.5843,Eurasia,,Aghul,"('Agul [agul1244]':1,'Gekxun [gekx1238]':1,'Keren [kere1281]':1,'Koshan [kosh1245]':1)'Aghul [aghu1253][agx]-l-':1",14618
False,Spoken L1 Language,0,0,0,,205,9022,xag,aghw1237,"{""iso_retirement"": null, ""ethnologue_comment"": {""isohid"": ""xag"", ""comment_type"": ""missing"", ""ethnologue_versions"": [""E16"", ""E17"", ""E18"", ""E19"", ""E20"", ""E21"", ""E22"", ""E23"", ""E24""], ""comment"": ""Aghwan or Caucasian Albanian, an extinct but amply attested Lezgic language, is missing from E16/E17/E18/E19/E20/E21/E22/E23/E24 (**hh:st:Gippertetal:Caucasian-Albanian**, **hh:ld:Greppin:Caucasian-Albanians**).""}, ""links"": [{""url"": ""https://www.wikidata.org/entity/Q34931"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Caucasian_Albanian_language"", ""label"": null}], ""meds"": [[""317706"", ""grammar_sketch"", 2008, 280, ""Gippert, Jost and Wolfgang Schulze and Zaza Aleksidze and Jean-Pierre Mahe 2008""], [""73002"", ""wordlist_or_less"", 1982, 20, ""Greppin, John A. C. 1982""]]}",40.374444,language,47.126667,Eurasia,,Aghwan,'Aghwan [aghw1237][xag]-l-':1,11916
False,Spoken L1 Language,0,0,0,,333,3136,thm,aheu1239,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""http://endangeredlanguages.com/lang/1214"", ""label"": ""Thavung""}, {""url"": ""https://www.wikidata.org/entity/Q34780"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Thavung_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/aheu1239"", ""label"": null}], ""meds"": [[""320627"", ""grammar"", 2008, 263, ""Preedaporn Srisakorn 2008""], [""552428"", ""phonology_or_text"", 2000, 209, ""Premsrirat Suwilai 2000""], [""61068"", ""phonology_or_text"", 1998, 147, ""Waiyanont, Nuchanart 1998""], [""138551"", ""phonology_or_text"", 1996, 18, ""Suwilai, Premsrirat 1996""], [""314522"", ""wordlist_or_less"", 1979, 24, ""Michel Ferlus 1979""]]}",17.7655,language,104.229,Eurasia,,Thavung,'Thavung [aheu1239][thm]-l-':1,4807
True,Bookkeeping,0,0,0,,342,342,ahr,ahir1243,"{""iso_retirement"": null, ""ethnologue_comment"": {""isohid"": ""ahr"", ""comment_type"": ""spurious"", ""ethnologue_versions"": [""E16"", ""E17"", ""E18"", ""E19"", ""E20"", ""E21"", ""E22"", ""E23"", ""E24""], ""comment"": ""E16/E17/E18/E19/E20/E21/E22/E23/E24 has an entry Ahirani [ahr]. But Ahirani is simply another Khandeshi variety\n(**hh:hvwt:Grierson:9:III**:203, **hh:ew:Kulkarni:Ahirs**,\n**hh:ld:Varma:Bhil**) already subsumed in the Khandesi [khn]\nentry. See also: Khandesi [khn].""}, ""links"": [{""url"": ""https://www.wikidata.org/entity/Q15549890"", ""label"": null}]}",21.552,language,73.685,Eurasia,,Ahirani,'Ahirani [ahir1243][ahr]-l-':1,1282
False,Spoken L1 Language,0,0,0,,77,15961,aho,ahom1240,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://www.wikidata.org/entity/Q34778"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Ahom_language"", ""label"": null}], ""meds"": [[""548537"", ""long_grammar"", 2012, 354, ""Rungkarn Duangthip 2012""], [""320733"", ""grammar_sketch"", 2010, 191, ""Dipima Buragohain 2010""], [""143515"", ""grammar_sketch"", 1902, 59, ""George A. Grierson 1902""], [""52757"", ""wordlist_or_less"", 1874, 10, ""Campbell, George 1874""], [""83951"", ""wordlist_or_less"", 1872, 5, ""Dalton, Edward Tuite 1872""], [""73725"", ""wordlist_or_less"", 1850, 2, ""Brown, Nathan 1850""]]}",27.2778,language,88.464,Eurasia,,Ahom,'Ahom [ahom1240][aho]-l-':1,18252
False,Spoken L1 Language,2,0,0,,77,7871,aih,aich1238,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://www.wikidata.org/entity/Q2827749"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Ai-Cham_language"", ""label"": null}], ""meds"": [[""150523"", ""grammar_sketch"", 2000, 157, ""Yang, Tongyin 2000""], [""11974"", ""phonology_or_text"", 1988, 14, ""Shi Lin and Cui Jianxin 1988""]]}",25.4908,language,107.844,Eurasia,,Ai-Cham,"('Boyao [boya1241]':1,'Di''e [diee1238]':1)'Ai-Cham [aich1238][aih]-l-':1",10537
False,Spoken L1 Language,10,0,0,,273,19806,aiq,aima1241,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://www.wikidata.org/entity/Q27898"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Aimaq_dialect"", ""label"": null}], ""meds"": [[""151735"", ""wordlist_or_less"", 1997, 18, ""Rastorgueva, Vera and V. V. Mo\u0161kalo and D\u017eoj I. \u00c8del'man 1997""], [""300752"", ""wordlist_or_less"", 1962, 84, ""Alfred Janata 1962-1963""], [""300655"", ""wordlist_or_less"", 1948, 20, ""E. G. Gafferberg 1948""]]}",35.283,language,59.1756,Eurasia,,Aimaq,"('Chinghizi [chin1474]':1,'Firozkohi [firo1239]':1,'Jamshidi [jams1238]':1,'Maliki [mali1277]':1,'Mizmast [mizm1238]':1,'Taimani [taim1249]':1,'Taimuri [taim1248]':1,'Teimuri [teim1238]':1,'Zainal [zain1238]':1,'Zohri [zohr1238]':1)'Aimaq [aima1241][aiq]-l-':1",21541
False,Spoken L1 Language,1,0,0,,351,7160,aim,aimo1244,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""http://endangeredlanguages.com/lang/3700"", ""label"": ""Aimol""}, {""url"": ""https://www.wikidata.org/entity/Q4697175"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Aimol_language"", ""label"": null}], ""meds"": [[""582419"", ""phonology_or_text"", 2018, 294, ""Khochung Okhup Aimol 2018""], [""317897"", ""phonology_or_text"", 2010, 5, ""Singh, Soibam Imoba 2010""], [""118757"", ""wordlist_or_less"", 1904, 5, ""George A. Grierson 1904""], [""571552"", ""wordlist_or_less"", 1902, 11, ""W. H. Furness 1902""]]}",24.6437,language,94.3556,Eurasia,,Aimol,('Langrong [lang1312]':1)'Aimol [aimo1244][aim]-l-':1,9838
False,Spoken L1 Language,2,0,0,,156,778,ain,ainu1240,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""http://crubadan.org/languages/ain"", ""label"": null}, {""url"": ""http://endangeredlanguages.com/lang/1212"", ""label"": ""Ainu (Japan)""}, {""url"": ""https://en.wikipedia.org/wiki/Ainu_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/ainu1240"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_ain"", ""label"": ""Ainu""}, {""url"": ""https://www.wikidata.org/entity/Q20968488"", ""label"": null}], ""meds"": [[""71032"", ""long_grammar"", 1989, 321, ""Hans Adalbert Dettmer 1989, 1997""], [""33512"", ""long_grammar"", 1986, 301, ""Kirsten Refsing 1986""], [""41084"", ""grammar"", 1905, 268, ""John Batchelor 1905""], [""471940"", ""grammar_sketch"", 1851, 189, ""August Pfizmaier 1851, 1882""]]}",43.633654,language,142.46167,Eurasia,,Hokkaido Ainu,"('Hokkaido [hokk1243]':1,'Taraika [tara1248]':1)'Hokkaido Ainu [ainu1240][ain]-l-':1",2434
False,Spoken L1 Language,0,0,0,,220,9151,aib,ainu1251,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""http://endangeredlanguages.com/lang/3691"", ""label"": ""Ainu (China)""}, {""url"": ""https://www.wikidata.org/entity/Q27927"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/%C3%84ynu_language"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_ayn"", ""label"": ""Aynu""}], ""meds"": [[""125549"", ""grammar_sketch"", 1994, 106, ""Otto Ladst\u00e4tter and Andreas Tietze 1994""], [""314412"", ""grammar_sketch"", 1982, 21, ""Haxim Zhao, X. R. 1982""], [""552800"", ""wordlist_or_less"", 1912, 14, ""Albert von Le Coq 1912""]]}",39.2714,language,76.4209,Eurasia,,Ainu (China),'Ainu {China} [ainu1251][aib]-l-':1,12046
False,Spoken L1 Language,0,0,0,,77,20089,aio,aito1238,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""http://endangeredlanguages.com/lang/1426"", ""label"": ""Aiton""}, {""url"": ""https://en.wikipedia.org/wiki/Aiton_language"", ""label"": null}, {""url"": ""https://www.wikidata.org/entity/Q3399725"", ""label"": null}], ""meds"": [[""157565"", ""grammar_sketch"", 2005, 73, ""Stephen Morey 2005""], [""91633"", ""grammar_sketch"", 2002, 69, ""Stephen Morey 2002""], [""52757"", ""wordlist_or_less"", 1874, 10, ""Campbell, George 1874""]]}",26.5145,language,92.3169,Eurasia,,Aiton,'Aiton [aito1238][aio]-l-':1,21700
False,Spoken L1 Language,0,0,0,,346,4828,akm,akab1248,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""http://endangeredlanguages.com/lang/10715"", ""label"": ""Aka-Bo""}, {""url"": ""https://www.wikidata.org/entity/Q35361"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Aka-Bo_language"", ""label"": null}], ""meds"": [[""128381"", ""grammar_sketch"", 2006, 5, ""Anvita Abbi 2006""], [""316426"", ""wordlist_or_less"", 1922, 27, ""Alfred Radcliffe-Brown 1922""]]}",12.3629,language,92.8011,Eurasia,,Akabo,'Akabo [akab1248][akm]-l-':1,7074
False,Spoken L1 Language,0,0,0,,346,1567,abj,akab1249,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://www.wikidata.org/entity/Q2356391"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Aka-Bea_language"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_akb"", ""label"": ""Aka-Biada""}], ""meds"": [[""570075"", ""long_grammar"", 2020, 453, ""Raoul Zamponi and Bernard Comrie 2020""], [""45158"", ""grammar_sketch"", 1877, 52, ""Man, E. H. and R. C. Temple 1877""], [""111601"", ""wordlist_or_less"", 1875, 17, ""de R\u00f6epstorff, Ad. 1875""], [""134587"", ""wordlist_or_less"", 1864, 11, ""C. R. Tickell 1864""], [""300333"", ""wordlist_or_less"", 1862, 43, ""Haughton, John C. 1862""]]}",12.3782,language,92.7818,Eurasia,,Akabea,'Akabea [akab1249][abj]-l-':1,3160
False,Spoken L1 Language,0,0,0,,346,4828,aci,akac1240,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://www.wikidata.org/entity/Q2670418"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Aka-Cari_language"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_akc"", ""label"": ""Aka-Cari""}], ""meds"": [[""128381"", ""grammar_sketch"", 2006, 5, ""Anvita Abbi 2006""], [""151283"", ""wordlist_or_less"", 1887, 30, ""Maurice V. Portman 1887""], [""550566"", ""wordlist_or_less"", 1885, 42, ""Edward H. Man 1885""]]}",13.49086,language,92.94855,Eurasia,,Akacari,'Akacari [akac1240][aci]-l-':1,7073
False,Spoken L1 Language,1,0,0,,346,4829,akj,akaj1239,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://www.wikidata.org/entity/Q2919121"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Aka-Jeru_language"", ""label"": null}], ""meds"": [[""315998"", ""long_grammar"", 2013, 330, ""Anvita Abbi 2013""], [""110347"", ""grammar_sketch"", 2006, 178, ""Narayan Kumar Choudhary 2006""], [""581009"", ""grammar_sketch"", 1980, 118, ""Manoharan, S. 1980""], [""106006"", ""wordlist_or_less"", 1952, 16, ""Basu, Dwijendra Nath 1952""], [""94755"", ""wordlist_or_less"", 1914, 5, ""Alfred R. Brown 1914""], [""550566"", ""wordlist_or_less"", 1885, 42, ""Edward H. Man 1885""]]}",13.1525,language,92.9504,Eurasia,,Akajeru,('Mixed Great Andamanese [mixe1288][gac]':1)'Akajeru [akaj1239][akj]-l-':1,7075
False,Spoken L1 Language,0,0,0,,346,4829,ack,akak1251,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""http://endangeredlanguages.com/lang/10716"", ""label"": ""Aka-Kora""}, {""url"": ""https://www.wikidata.org/entity/Q3433680"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Aka-Kora_language"", ""label"": null}], ""meds"": [[""68173"", ""grammar_sketch"", 1985, 30, ""Yogendra Yadav 1985""], [""316426"", ""wordlist_or_less"", 1922, 27, ""Alfred Radcliffe-Brown 1922""]]}",12.0944,language,92.7466,Eurasia,,Akakora,'Akakora [akak1251][ack]-l-':1,7076
